url,lastmod,title_hint,sitemap,candidate,candidate_reason
https://cafef.vn/vi-sao-cac-doanh-nghiep-chi-tien-ty-cho-ca-si-lam-mv-nhung-con-so-bat-ngo-phia-sau-du-lam-khan-gia-choang-minh-20221005233136588.chn,2022-10-05T23:31:48+07:00,"<![CDATA[Vì sao các doanh nghiệp ""chi"" tiền tỷ cho ca sĩ làm MV? Những con số bất ngờ phía sau đủ làm khán giả ""choáng mình""]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,True,title_keyword
https://cafef.vn/co-phieu-bi-han-che-giao-dich-quan-ly-tai-san-flc-noi-gi-20221005231835903.chn,2022-10-05T23:18:47+07:00,"<![CDATA[Cổ phiếu bị hạn chế giao dịch, Quản lý Tài sản FLC nói gì?]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,True,title_keyword
https://cafef.vn/thong-doc-nguyen-thi-hong-bat-ke-trong-hoan-canh-nao-nhnn-luon-dat-muc-tieu-kiem-soat-lam-phat-bao-dam-an-toan-he-thong-len-hang-dau-20221005224310819.chn,2022-10-05T22:43:22+07:00,<![CDATA[Thống đốc Nguyễn Thị Hồng phát biểu chỉ đạo tại Hội ngh]]>,https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/audi-r8-khai-tu-bang-cach-ra-mat-ban-cau-sau-manh-nhat-lich-su-cua-audi-20221005201743428.chn,2022-10-05T21:27:21+07:00,<![CDATA[Audi R8 khai tử bằng cách... ra mắt bản cầu sau mạnh nhất lịch sử của Audi]]>,https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/chung-khoan-my-dao-chieu-sau-phien-tang-gan-900-diem-20221005220443425.chn,2022-10-06T06:25:15+07:00,"<![CDATA[Chứng khoán Mỹ 'đứt mạch' thăng hoa, đảo chiều sau cú tăng gần 1.600 điểm chỉ trong 2 phiên]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,True,title_keyword
https://cafef.vn/se-co-them-mot-dot-tang-lai-suat-dieu-hanh-trong-quy-4-20221005222219684.chn,2022-10-05T22:22:32+07:00,<![CDATA[Sẽ có thêm một đợt tăng lãi suất điều hành trong quý 4?]]>,https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,True,title_keyword
https://cafef.vn/gia-dinh-12-anh-chi-em-lap-ky-luc-song-lau-nhat-the-gioi-20221005205233877.chn,2022-10-05T21:24:17+07:00,<![CDATA[Gia đình 12 anh chị em lập kỷ lục sống lâu nhất thế giới]]>,https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/opec-cat-giam-2-trieu-thung-dau-ngay-20221005221037689.chn,2022-10-05T22:37:33+07:00,"<![CDATA[OPEC+ cắt giảm 2 triệu thùng/ngày, giá dầu ngay lập tức tăng mạnh]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/viet-nam-xuat-khau-la-san-chuoi-khoai-lang-thu-ve-hon-6-trieu-usd-202210052202462.chn,2022-10-05T22:02:58+07:00,<![CDATA[Ảnh minh họa.]]>,https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/chu-tich-hdqt-baf-khoe-heo-an-chay-doi-dau-heo-an-chuoi-cua-bau-duc-20221005214405359.chn,2022-10-05T21:45:14+07:00,"<![CDATA[Chủ tịch HĐQT BAF khoe ""heo ăn chay"", đối đầu ""heo ăn chuối"" của bầu Đức?]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/choang-voi-quy-phu-huynh-270-trieu-dong-chi-58-trieu-lam-qua-cho-giao-vien-20221005204927865.chn,2022-10-05T21:25:34+07:00,"<![CDATA[Choáng với quỹ phụ huynh 270 triệu đồng, chi 58 triệu làm quà cho giáo viên]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/khoe-nha-khoe-luon-chat-toi-xin-nhu-kelbin-lei-quynh-anh-shyn-monsimi-20221005212116903.chn,2022-10-05T21:22:26+07:00,"<![CDATA[Khoe nhà khoe luôn chất 'tôi' xịn như Kelbin Lei, Quỳnh Anh Shyn, Monsimi]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/banh-uot-cuon-tom-chua-my-vi-cung-dinh-hue-luu-lac-ben-via-he-co-do-20221002212550356.chn,2022-10-05T21:25:37+07:00,"<![CDATA[Bánh ướt cuốn tôm chua - mỹ vị cung đình Huế ""lưu lạc"" bên vỉa hè Cố đô]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/nhung-buc-anh-hiem-hoi-ve-tau-hoa-hang-sang-nhung-nam-1900-1940-20221005202113133.chn,2022-10-05T21:04:43+07:00,<![CDATA[Những bức ảnh hiếm hoi về tàu hỏa hạng sang những năm 1900 - 1940]]>,https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/uc-duoc-chuyen-nham-hon-160-ty-dong-nguoi-phu-nu-voi-di-mua-biet-thu-roi-hoi-khong-kip-20221005201408503.chn,2022-10-05T21:00:32+07:00,"<![CDATA[Úc: Được chuyển nhầm hơn 160 tỷ đồng, người phụ nữ vội đi mua biệt thự rồi hối không kịp]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/ha-nam-vien-ngoc-tho-xinh-dep-trong-lang-du-lich-nhung-it-ai-biet-den-20221005195420872.chn,2022-10-05T20:08:35+07:00,<![CDATA[Hà Nam: “Viên ngọc thô” xinh đẹp trong làng du lịch nhưng ít ai biết đến]]>,https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/eu-dong-y-ap-tran-gia-dau-nga-gazprom-doa-cat-khi-dot-cho-moldova-20221005162550638.chn,2022-10-05T20:38:56+07:00,"<![CDATA[EU đồng ý áp trần giá dầu Nga, Gazprom doạ cắt khí đốt cho Moldova]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
https://cafef.vn/ca-giot-nuoc-loai-dong-vat-xau-nhat-the-gioi-bi-hieu-nham-ve-hinh-dang-ky-di-suot-bao-nam-20221005195906699.chn,2022-10-05T20:07:33+07:00,"<![CDATA[Cá giọt nước - ""loài động vật xấu nhất thế giới"" bị hiểu nhầm về hình dạng kỳ dị suốt bao năm]]>",https://cafef.vn/sitemaps/sitemaps-2022-10-1-5.xml,False,
